lunm= .5670000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 0, pox=96, rnum=566500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=96, rnum=566500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 4433500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=92, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 3867000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=92, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 3300500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=92, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 2734000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=92, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 2167500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=92, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 1601000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=92, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 1034500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=92, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 468000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=92, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 411350000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000810000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=91, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 354700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000820000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=91, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 298050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000830000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=91, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 241400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000840000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=91, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 184750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000850000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=91, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 128100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000860000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=91, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 71450000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000870000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=91, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 14800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000880000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=91, rnum=5665000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 9135000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000881000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=90, rnum=566500000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 3470000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=90, rnum=566500000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
lunm= 2903500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, quo= 1000882100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, pox=89, rnum=56650000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000
